DRI Number,Project Name,Current Status,Contains 'data center'?,Water Usage,Data Center?,Cleaned Water Usage Data
1394,Broadstone west,Completed,0,No water data,TBD,No water data
1392,Arrow/Thomson Real Estate Investments,Withdrawn,0,No water data,TBD,No water data
1391,Arrow/Thomson Real Estate Investments,Withdrawn,0,No water data,TBD,No water data
1390,Arrow/Thomson Real Estate Investments,Completed,0,0,TBD,0
1387,The Heights at Clairmont,Completed,0,0.178,TBD,0.178
1385,Calvary Campus and Community,Completed,0,0.44,TBD,0.44
1383,Fort Argyle Village,Completed,0,0.23 mgd,TBD,0.23
1380,Valdosta Shoppes,Completed,0,"354,540 gpd or .35 mgd",TBD,"354,540 gpd or .35"
1379,Cook County High School,Terminated,0,No water data,TBD,No water data
1378,DAWSON MARKET PLACE,Completed,0,.174,TBD,.174
1376,Bedford Falls Development Zoning Application,Completed,0,"90,000 gpd",TBD,"90,000 gpd"
1375,Brookstone Village,Completed,0,No water data,TBD,No water data
1374,APD Custom Homes Tract - Home Town,Completed,0,0.54 mgd,TBD,0.54
1370,U.S. HWY 27 S.  PLANNED UNIT DEVELOPMENT AND HIGHWAY COMMERCIAL DEVELOPMENT,Withdrawn,0,No water data,TBD,No water data
1369,South Grove Multifamily Development,Completed,0,0.235 mgd,TBD,0.235
1368,Caldwell Asphalt Plant,Completed,0,500 gpd,TBD,500 gpd
1367,Madison Farms,Completed,0,.0345 mgd,TBD,.0345
1366,Oakmont,Completed,0,No water data,TBD,No water data
1365,ROXY RESIDENTIAL TOWER,Completed,0,No water data,TBD,No water data
1364,Courtney Cove Planned Unit Development,Completed,0,.08,TBD,.08
1363,Athens-Atlanta Asphalt Recycling Facility,Completed,0,0.0005 mgd,TBD,0.0005
1362,Houston American Cement Plant / Quarry,Completed,0,0.075 ( includes process water),TBD,0.075 ( includes process water)
1361,"Arrow Waste, Inc. (2855 Humphries Way)",Completed,0,No water data,TBD,No water data
1360,Jones County Industrial Park,Completed,0,not determined,TBD,not determined
1359,Wild Animal Safari,Completed,0,.063 mgd,TBD,.063
1358,Advanced Disposal Scales Road Closure Plan,Completed,0,0.025 mgd (existing use rate),TBD,0.025
1357,The Grove,Request for Comments Made,0,unknown at this time,TBD,unknown at this time
1356,Southern Roll Off & Recycling,Terminated,0,~0,TBD,~0
1355,West Georgia Industries: Douglasville Ready Mix Facility,Withdrawn,0,No water data,TBD,No water data
1354,NORTH HIGHLAND CROSSING,Completed,0,0.05,TBD,0.05
1353,Aspen Hills Redevelopment,Completed,0,0.050 mgd,TBD,0.050
1352,City Side at Town Center,Completed,0,0.562 mgd,TBD,0.562
1351,Sail Cove,Completed,0,.080 mgd,TBD,.080
1350,"TradePort East - Industrial  (11,300,000 square feet)",Completed,0,0.2 mgd,TBD,0.2
1349,Ellsworth Perennial DRI,Completed,0,0.07 mgd,TBD,0.07
1348,Gateway Center,Withdrawn,0,No water data,TBD,No water data
1347,Residential Subdivision Hwy 202,Completed,0,0.11,TBD,0.11
1346,Misty Groves Subdivision,Completed,0,0.065,TBD,0.065
1345,The Villages at Nunn Farm,Completed,0,0.24,TBD,0.24
1344,"PSC Metals, Inc.",Completed,0,less than 1 mgd,TBD,less than 1
1343,Interstate Centre Expansion,Completed,0,0.2 million gallons per day,TBD,0.2 million gallons per day
1342,Billings Project,Withdrawn,0,No water data,TBD,No water data
1341,Highway 44 Commercial Tract,Terminated,0,No water data,TBD,No water data
1340,"Southern Plantation Properties, LLC",Terminated,0,.1,TBD,.1
1339,"Southern Plantation Properties, LLC",Terminated,0,No water data,TBD,No water data
1338,"Southern Plantation Properties, LLC",Terminated,0,No water data,TBD,No water data
1337,"Southern Plantation Properties, LLC",Terminated,0,No water data,TBD,No water data
1336,Maristone aka Swift Creek,Completed,0,.21110,TBD,.21110
1335,WBC Trailer Storage,Completed,0,No water data,TBD,No water data
1334,Lake Oconee/Harmony Road (no project name to date),Completed,0,.144000 mgd,TBD,.144000
1333,Kingsland Plantation,Completed,0,.271 mgd,TBD,.271
1331,Gables Huff Road,Withdrawn,0,No water data,TBD,No water data
1330,Aviation Park,Completed,0,0.039 mgd,TBD,0.039
1329,Walker Brothers Transfer Station,Completed,0,0.00125,TBD,0.00125
1328,Indigo Harbour,Completed,0,.09,TBD,.09
1327,Galleria Parkway Mixed Use Project,Completed,0,0.11 mgd,TBD,0.11
1326,Pit 31,Completed,0,,TBD,
1325,Daniels Bridge Road Tract,Completed,0,1.23 mgd,TBD,1.23
1324,The Ridges at Old Dixie,Terminated,0,No water data,TBD,No water data
1323,Exchange Towers,Completed,0,0.024,TBD,0.024
1322,Butts Co. Concrete Batch Plant,Completed,0,0.01,TBD,0.01
1321,Sustainable Fellwood,Terminated,0,No water data,TBD,No water data
1320,Clifton Road Mixed-Use,Completed,0,0.29 mgd,TBD,0.29
1319,Daniel Siding Development,Completed,0,,TBD,
1318,Alexan Cityscapes,Completed,0,0.12 mgd,TBD,0.12
1317,Reames Concrete,Completed,0,0.01 mgd,TBD,0.01
1315,"project un-named - Hardman, Inc",Completed,0,.304 mgd,TBD,.304
1314,The Village at Lake Bowden,Withdrawn,0,0.256,TBD,0.256
1313,Harmony Cove,Completed,0,1.1 mgd,TBD,1.1
1312,Project Roman,Terminated,0,No water data,TBD,No water data
1311,Collier Road Redevelopment,Completed,0,0.17mgd,TBD,0.17mgd
1309,Friendship Village,Completed,0,1.9 mgd,TBD,1.9
1308,Hawks Ridge Subdivision,Completed,0,.047,TBD,.047
1307,Parkway 400 /Greenstone Properties,Completed,0,.146 mgd,TBD,.146
1306,Laurel Grove,Completed,0,.07 mgd,TBD,.07
1305,Venable Hall,Completed,0,0.481,TBD,0.481
1304,Talton Subdivision,Completed,0,0.13 mgd,TBD,0.13
1303,"WIND SONG, PHASE II",Withdrawn,0,No water data,TBD,No water data
1302,Lake Oleander West,Completed,0,.113,TBD,.113
1301,Fields of Walnut Creek,Completed,0,0.0855 mgd,TBD,0.0855
1300,Royal Palms,Completed,0,,TBD,
1299,The Park at Cumming,Withdrawn,0,No water data,TBD,No water data
1298,King George Partnerners - Residential Subdivision,Withdrawn,0,No water data,TBD,No water data
1297,Saddle Ridge Subdivision,Completed,0,.239,TBD,.239
1296,Midtown Heights,Completed,0,1.0 mgd,TBD,1.0
1295,Old Cassidy Road Subdivision,Completed,0,0.09 mgd,TBD,0.09
1294,Newell Recycling,Completed,0,No water data,TBD,No water data
